"Employeurs ayant obtenu une Étude d'impact sur le marché du travail (EIMT) positive en 2016, par classification nationale des professions (CNP) 2011 et lieu d’affaires",,,, 
Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,"Postes Approuvés
" 
,Wyecroft Trim & Door Group,"Mississauga, ON L5S 1R7",7271-Charpentiers-menuisiers,1
,Xagenic Canada Inc.,"Toronto, ON M5J 1R7",911-Directeurs de la fabrication,1
,,,2133-Ingénieurs électriciens et électroniciens,1
,,,"2148-Autres ingénieurs, n.c.a.",1
,Xena Technologies Inc.,"Milton, ON L9T 0E6",2174-Programmeurs et développeurs en médias interactifs,3
,Ya Ya Foods Corp.,"Etobicoke, ON M8Z 5E1","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
,Yakitori Marketing Corp.,"Toronto, ON M5A 2K7",6222-Acheteurs des commerces de détail et de gros,1
,Yamana Gold Inc,"Toronto, ON M5J 2J3","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,,213-Gestionnaires des systèmes informatiques,1
,,,"4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,Yang Jun Family Farms,"Newmarket, ON L3Y 4V9",8431-Ouvriers agricoles,18
,YDFC Limited,"North York, ON M6A 2T9",6321-Chefs,1
,Yee Hong Centre for Geriatric Care,"Toronto, ON M1V 5L3","4153-Thérapeutes conjugaux, thérapeutes familiaux et autres conseillers assimilés",1
,Yellow Line Farms Ltd,"Leamington, ON N8H 3V8",8432-Ouvriers de pépinières et de serres,5
,Yin's Ginseng Farms,"Waterford, ON N0E 1Y0",8431-Ouvriers agricoles,3
,YMCA Northumberland,"Cobourg, ON K9A 4X5",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,"Yorespere, Inc.","Oakville, ON L6J 3C7","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,York University,"Toronto, ON M3J 1P3",4011-Professeurs et chargés de cours au niveau universitaire,6
,Young & Young Trading Co.Ltd,"Scarbourough, ON M1P 2T4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Young Group Entertainment Inc.,"Toronto, ON M2M 3W5",6322-Cuisiniers,1
,Young Kim Martial Arts Inc,"Toronto, ON M1B 3W3","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,Young Street Gardens Ltd,"Smithville, ON L0R 2A0",8432-Ouvriers de pépinières et de serres,12
,Yu An Farms Ltd,"Cookstown, ON L0L 1L0",8431-Ouvriers agricoles,55
,Yukon Construction Inc.,"Concord, ON L4L 8B3",7271-Charpentiers-menuisiers,1
,Yummy Market Inc.,"Toronto, ON M3H 6A8",6322-Cuisiniers,1
,Z&X Parts and Services Inc.,"London, ON N5W 3A8",2281-Techniciens de réseau informatique,1
,Zafin Labs Americas Incorporated,"Toronto, ON M5H 2S8","13-Cadres supérieurs - services financiers, communications et autres services aux entreprises",2
,Zandgate Farms Inc,"Highgate, ON N0P 1T0",8431-Ouvriers agricoles,1
,Zaneen Group Inc.,"Toronto, ON M6B 1V9",621-Directeurs - commerce de détail et de gros,1
,Zantingh Direct Inc,"Wyoming, ON N0N 1T0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,,8431-Ouvriers agricoles,3
,Zara Natural Stones Inc.,"Vaughan, ON L0J 1C0",6221-Spécialistes des ventes techniques - commerce de gros,1
,ZDS Farms Ltd,"Leamington, ON N8H 3V5",8432-Ouvriers de pépinières et de serres,10
,Zeel Divya Inc,"Mattawa, ON P0H 1V0",621-Directeurs - commerce de détail et de gros,1
,Zekveld's Garden Market Inc,"Wyoming, ON N0N 1T0",8431-Ouvriers agricoles,5
,Zenith System Solutions Inc.,"Markham, ON L3R 6G2",2171-Analystes et consultants en informatique,8
,,,2174-Programmeurs et développeurs en médias interactifs,5
,Zephyr Organics Inc,"Zephyr, ON L0E 1T0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,,8431-Ouvriers agricoles,12
,Zeritek Consulting Inc.,"Pickering, ON L1X 2L1",601-Directeurs des ventes corporatives,1
,ZET MASTER LTD,"Brampton, ON L6T 5G6",7283-Carreleurs,1
,Zetra Enterprises Inc.,"Maple, ON L4L 6X4",2234-Estimateurs en construction,1
,Ziemba Farms Ltd,"Newmarket, ON L3Y 4V9",8431-Ouvriers agricoles,5
,Zimmer Farms Limited,"Otterville, ON N0J 1R0",8431-Ouvriers agricoles,1
,Zodiac Impex Inc.,"Mississauga, ON L5T 2L1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Zoltech Holdings Ltd.,"Toronto, ON M5R 3G2",7295-Poseurs de revêtements d'intérieur,3
,Zuimei Corporation Ltd.,"Toronto, ON M5V 1Z9",1122-Professionnels des services-conseils en gestion aux entreprises,1
Manitoba,1647778 Ontario Inc.,"Solsgirth, MB R0J 2B0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
,3012352 Manitoba Ltd.o/a Wendell Honey,"Roblin, MB R0L 1P0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",5
,,,8431-Ouvriers agricoles,10
,3120180 Manitoba Ltd,"Russell, MB R0J 1W0",8431-Ouvriers agricoles,1
,4 Tracks Ltd.,"Winnipeg, MB R3C 2E6",7511-Conducteurs de camions de transport,25
,4476515 Manitoba Ltd (Trickle Creek General Store),"McCreary, MB R0J 1B0","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
,4647204 Manitoba Ltd,"Austin, MB R0H 0C0",8431-Ouvriers agricoles,2
,4663943 Manitoba Ltd,"Minnedosa, MB R0J 1E0",821-Gestionnaires en agriculture,1
,4722656 Manitoba Ltd.,"Minnedosa, MB R0J 1E0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,,8431-Ouvriers agricoles,3
,5943214 MB Ltd,"Cartwright, MB R0K 0L0",8431-Ouvriers agricoles,4
,6309055 Manitoba Inc.,"Lynn Lake, MB R0B 0W0","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,6312579 Manitoba Ltd.,"Winnipeg, MB R3X 2J2",6311-Superviseurs des services alimentaires,2
,6313434 Manitoba Ltd,"Otterburne, MB R0A 1G0",8432-Ouvriers de pépinières et de serres,23
,6373551 Manitoba Ltd.,"Winnipeg, MB R3L 1Y7",6322-Cuisiniers,1
,6533311 Manitoba Ltd.,"Winnipeg, MB R2R 2V1",6322-Cuisiniers,1
,6802312 Manitoba Inc.,"Morris, MB R0G 1K0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",2
,6809864 Manitoba Ltd.,"Winnipeg, MB R3P 2H1",6321-Chefs,1
,6844406 Manitoba Ltd,"Portage La Prairie, MB R1N 3C3",6322-Cuisiniers,1
,7014325 MB Ltd,"Winnipeg, MB R3M 2H8",8612-Manoeuvres en aménagement paysager et en entretien des terrains,1
,71844 Manitoba Ltd.,"Ethelbert, MB R0L 0T0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
,,,8431-Ouvriers agricoles,8
,7723 Productions Inc.,"Winnipeg, MB R3B 1G7",5241-Designers graphiques et illustrateurs,1
,8900787 Canada Ltd,"Winnipeg, MB R2C 2Z2",7511-Conducteurs de camions de transport,2
,Ace Signs and Service Ltd,"Winnipeg, MB R2X 1G4",7237-Soudeurs et opérateurs de machines à souder et à braser,4
,Adplace Ltd.,"Winnipeg, MB R3B 0P4",2174-Programmeurs et développeurs en médias interactifs,1
,Adventure Skydiving Inc.,"Steinbach, MB R5B 1B3","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",2
,AJC Fergusson Farms Ltd.,"Alexander, MB R0K 0A0",8431-Ouvriers agricoles,1
,Alkazaz Dental Corporation,"Thompson, MB R8N 0C6",3113-Dentistes,1
,Amenity Health Care LP,"Winnipeg, MB R3P 1C7",3112-Omnipraticiens et médecins en médecine familiale,2
,Anderson's House,"Winnipeg, MB R3J 0L3",3219-Autres technologues et techniciens des sciences de la santé (sauf soins dentaires),1
,Arnold Brothers Transport Ltd.,"Winnipeg, MB R2J 0T8",7511-Conducteurs de camions de transport,10
,Ash Apiaries Ltd.,"Gilbert Plains, MB R0L 0X0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",6
,,,8431-Ouvriers agricoles,16
,Aubin Nurseries Ltd.,"Carman, MB R0G 0J0",8432-Ouvriers de pépinières et de serres,14
,Bayview Construction Ltd.,"Oak Bluff, MB R4G 0B5",7312-Mécaniciens d'équipement lourd,1
,Bee Blossom Apiaries,"Gilbert Plains, MB R0L 0X0",8431-Ouvriers agricoles,4
,Bestland Air Ltd,"Starbuck, MB R0G 2P0","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",1
,BFR Holdings Ltd,"Winnipeg, MB R3K 2H7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,Busy Bee Apiaries Ltd,"Austin, MB R0H 0C0",8431-Ouvriers agricoles,3
,Canmark Family Farming Ltd.,"Roblin, MB R0L 1P0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
,,,8431-Ouvriers agricoles,12
,Carson Schoonbaert Farm LTD,"Deloraine, MB R0M 0M0",8431-Ouvriers agricoles,1
,Connery's Riverdale Farms Ltd,"Portage La Prairie, MB R1N 3B2",8431-Ouvriers agricoles,59
,Corduroy Plains Ltd,"Carman, MB R0G 0T0",8431-Ouvriers agricoles,2
,Deloitte LLP,"Winnipeg, MB R3C 3Z3",111-Directeurs financiers,1
,Dimart Inc,"Winnipeg, MB R2C 0C7",7272-Ébénistes,1
,Durston Honey Farms Ltd.,"Dauphin, MB R7N 2T8","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,,8431-Ouvriers agricoles,3
,East India Company (Pub and Eatery) Ltd,"Winnipeg, MB R3C 3S9",6322-Cuisiniers,2
,Enns Brothers Ltd,"Oak Bluff, MB R4G 0B1",7312-Mécaniciens d'équipement lourd,1
,Extendicare Canada Inc,"Selkirk, MB R1A 0B5",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,1
,Farmer's Edge Inc,"Winnipeg, MB R3T 3N9",2114-Météorologues et climatologues,1
,Finnie-Wishart Farms Ltd.,"Portage la Prairie, MB R1N 3A1",8431-Ouvriers agricoles,3
,Fuchs Decorating Inc.,"Lorette, MB R0A 0Y0","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,Genuwine Cellars Inc.,"Winnipeg, MB R2C 2Z2",7237-Soudeurs et opérateurs de machines à souder et à braser,3
,Grysiuk Apiary Inc.,"Winnipeg, MB R2Y 2E8","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",5
,Grysiuk Honey Farms Ltd.,"Winnipeg, MB R2Y 0P8","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",6
,Gusta Enterprises Ltd,"Stead, MB R0E 1Z0",8431-Ouvriers agricoles,4
,GVI Clinical Development Solutions Inc.,"Winnipeg, MB R3T 6C6","4165-Recherchistes, experts-conseils et agents de programmes en politiques de la santé",1
,H&R Transport Ltd.,"Winnipeg, MB R3C 2E6",7511-Conducteurs de camions de transport,5
,Han Sang Food Ltd.,"Winnipeg, MB R3H 1B1",6322-Cuisiniers,1
,Happy Planet Enterprises Ltd,"Ashern, MB R0C 0E0",6525-Réceptionnistes d'hôtel,1
,,,6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,1
,Health Science Centre (Winnipeg Regional Health Authority),"Winnipeg, MB R3B 1E2",3111-Médecins spécialistes,10
,,,3112-Omnipraticiens et médecins en médecine familiale,1
,Holy Family Nursing Home Inc.,"Winnipeg, MB R2W 1T9",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,1
,Horsemens Benevolent And Protective Association Of Manitoba Inc.,"Winnipeg, MB R3K 2E9",6563-Soigneurs d'animaux et travailleurs en soins des animaux,15
,Hugh Munro Construction Ltd.,"Winnipeg, MB R2C 2Z2",7312-Mécaniciens d'équipement lourd,2
,Incident Productions Inc,"Winnipeg, MB R2X 0A3","6742-Autre personnel de soutien en service, n.c.a.",1
,Insta-foil Specialties Inc.,"Winnipeg, MB R3P 1A6",5241-Designers graphiques et illustrateurs,1
,Interlake Honey Producers Ltd.,"Fisher Branch, MB R0C 0Z0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,,8431-Ouvriers agricoles,2
,Interlake-Eastern Regional Health Authority,"Pinawa, MB R0E 1L0",3112-Omnipraticiens et médecins en médecine familiale,1
,Iris Asian Bistro Bon Sushi,"Winnipeg, MB R3B 3K6",6322-Cuisiniers,1
,Ivan's Auto Body & Glass Ltd.,"Winnipeg, MB R2V 4S7",7322-Débosseleurs et réparateurs de carrosserie,2
,J & C Farms Ltd.,"Minto, MB R0K 1M0",8431-Ouvriers agricoles,2
,J.C. Paving Ltd.,"West St. Paul, MB R2V 4T2",7281-Briqueteurs-maçons,1
,Jeffries Berry Patch Inc,"Portage La Prairie, MB R1N 3B9",8432-Ouvriers de pépinières et de serres,2
,Jeffries Bros Vegetable Grower,"Portage la Prairie, MB R1N 3C2",8431-Ouvriers agricoles,21
,Jeffries Nurseries Ltd,"Portage La Prairie, MB R1N 3B7",8432-Ouvriers de pépinières et de serres,15
,K.B.W. Aviation Ltd,"St Jean Baptiste, MB R0G 2B0","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",1
,Keller and Sons Farming Ltd,"Carberry, MB R0K 0H0",8431-Ouvriers agricoles,9
,Ken Kane Aerial Spray 1988 Ltd.,"Minnedosa, MB R0J 1E0","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",4
,Kroeker Farms Limited,"Winkler, MB R6W 0K7",8431-Ouvriers agricoles,56
,Loe-Bee Honey Farms Ltd.,"Ste. Anne, MB R5H 1R1",8431-Ouvriers agricoles,5
,Maple Leaf Foods Inc.,"Brandon, MB R7A 7M5",714-Directeurs de l'exploitation et de l'entretien d'immeubles,1
,,,2171-Analystes et consultants en informatique,1
,Marg's Honey Inc,"St. Andrews, MB R1A 3N4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Martin Farms Ltd.,"East Selkirk, MB R0E 0M0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,Maxim Transportation Services Inc.,"Winnipeg, MB R3C 2E6",7312-Mécaniciens d'équipement lourd,1
,Mayfair Farms (Portage) Ltd,"Portage La Prairie, MB R1N 3B2",8431-Ouvriers agricoles,58
,Meyer Farms Co. Ltd.,"Cartier, MB R4K 1B1",8431-Ouvriers agricoles,3
,Midland Super Save Inc,"Winnipeg, MB R3E 3G5",621-Directeurs - commerce de détail et de gros,1
,Midnight Productions Inc,"Winnipeg, MB R3B 1G7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",3
,,,5135-Acteurs et comédiens,5
,Mogo Finance Technology Inc,"Winnipeg, MB R3C 4A7",2175-Concepteurs et développeurs Web,1
,Mr. Tubbs/Wpg Bathtub Refinishing Ltd.,"Winnipeg, MB R3X 2C2",1311-Techniciens en comptabilité et teneurs de livres,1
,N.R.W. Manufacturing Inc.,"Riverton, MB R0C 2R0",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,,"9416-Opérateurs de machines à travailler les métaux légers et lourds, et de machines de formage",1
,Nichol Honey Farm Ltd.,"MacGregor, MB R0H 0R0",821-Gestionnaires en agriculture,3
,,,8431-Ouvriers agricoles,7
,Northern Regional Health                    .,"Thompson, MB R8N 1Z4",3233-Infirmiers auxiliaires,1
,OakNook Honey Products Ltd.,"Ashville, MB R0L 0A0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",12
,,,8431-Ouvriers agricoles,24
,One Call Logistics Inc,"Steinbach, MB R5G 1T2",7511-Conducteurs de camions de transport,4
,Parrish & Heimbecker Ltd,"Winnipeg, MB R3B 3K6",6221-Spécialistes des ventes techniques - commerce de gros,5
,Pennwood Dairy Inc.,"Steinbach, MB R5G 1L9",8431-Ouvriers agricoles,1
,Pieter Ciere Entreprises Inc.,"Thompson, MB R8N 0M8",6211-Superviseurs des ventes - commerce de détail,13
,,,6421-Vendeurs - commerce de détail,1
,Polar Enterprises Ltd.,"Hadashville, MB R0E 0X0",7511-Conducteurs de camions de transport,3
,Polar Industries Ltd,"Springfield, MB R2C 2Z2",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,,7312-Mécaniciens d'équipement lourd,1
,Prairie Mountain Health,"Shoal Lake, MB R0J 1Z0",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,1
,,,3111-Médecins spécialistes,1
,,,3112-Omnipraticiens et médecins en médecine familiale,2
,,,3233-Infirmiers auxiliaires,1
,Prairie Rose Meats Ltd.,"Souris, MB R0K 2C0","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
,Ramsey Motors Ltd.,"Carberry, MB R0K 0H0",6421-Vendeurs - commerce de détail,1
,Razir Transport Services Ltd.,"Winnipeg, MB R3T 1T6",7511-Conducteurs de camions de transport,5
,Reliable Home Care Agency Inc.,"Winnipeg, MB R3G 0V2",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,2
,Reliable Tire Recycling,"Winnipeg, MB R3E 3K1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Rosser Holsteins Ltd.,"Rosser, MB R0H 1E0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Royal Brothers Transport Inc,"Winnipeg, MB R3V 1V1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Russell Inns Ltd.,"Russell, MB R0J 1W0",6322-Cuisiniers,2
,S & J Construction Ltd.,"West St. Paul, MB R2P 2W5",7611-Aides de soutien des métiers et manoeuvres en construction,5
,Sanderson Holdings Ltd.,"Opaskwayak, MB R0B 2J0",6311-Superviseurs des services alimentaires,7
,Schriemer Family Farm,"Otterburne, MB R0A 1G0",8431-Ouvriers agricoles,19
,Searle Greenhouses Ltd,"East Selkirk, MB R0E 0M0",8432-Ouvriers de pépinières et de serres,18
,Shiv Shakti Anpurna Ltd.,"Dauphin, MB R7N 3H4",6322-Cuisiniers,4
,Shivam Enterprises Inc.,"Winnipeg, MB R3B 3N3",6322-Cuisiniers,3
,Silver Weanlings Inc.,"Arborg, MB R0C 0A0",8431-Ouvriers agricoles,8
,SkipTheDishes Restaurant Servcie Inc.,"Winnipeg, MB R3B 0P4",2174-Programmeurs et développeurs en médias interactifs,2
,St. James Volkswagen Ltd,"Winnipeg, MB R3H 0A1","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,St. Paul's Home,"Dauphin, MB R7N 2N2",3233-Infirmiers auxiliaires,1
,Superior Weanlings Ltd.,"Birtle, MB R0M 1Y0",8431-Ouvriers agricoles,3
,Sushi Academy,"Winnipeg, MB R3N 0E2",6322-Cuisiniers,1
,Ten Diamonds Inc,"Portage la Prairie, MB R1N 0R3",6322-Cuisiniers,4
,The Kitching Group (Canada) Inc.,"Winnipeg, MB R3M 0W5",631-Directeurs de la restauration et des services alimentaires,1
,The Movement Center of Manitoba Inc,"Winnipeg, MB R2G 1N7",4215-Instructeurs pour personnes ayant une déficience,3
,The Salvation Army William and Catherine Booth University College,"Winnipeg, MB R3B 2P2",421-Administrateurs - enseignement postsecondaire et formation professionnelle,1
,The University of Manitoba,"Winnipeg, MB R3T 2N2",4011-Professeurs et chargés de cours au niveau universitaire,5
,The Wawanesa Mutual Insurance Company,"Winnipeg, MB R3C 1A8",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,6
,Timvir Ltd.,"Virden, MB R0M 2C0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",4
,Trio Stars Plastering Ltd.,"Winnipeg, MB R2W 3B3","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
