"Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC), and province/territory",,,,,,,,
Canada,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
2133 - Electrical and electronics engineers,1,1,2,2,0,0,0,0
2141 - Industrial and manufacturing engineers,1,0,0,0,0,0,0,0
2143 - Mining engineers,0,0,0,0,0,0,0,1
2154 - Land surveyors,0,0,0,0,0,0,1,0
"2161 - Mathematicians, statisticians and actuaries",0,0,0,0,0,0,0,1
2171 - Information systems analysts and consultants,0,0,6,5,3,4,6,4
2172 - Database analysts and data administrators,0,0,2,0,1,0,2,0
2173 - Software engineers and designers,0,6,67,3,5,20,20,5
2174 - Computer programmers and interactive media developers,3,5,6,12,11,21,28,15
2175 - Web designers and developers,0,1,0,2,4,4,8,4
2211 - Chemical technologists and technicians,0,1,0,0,0,0,0,0
2221 - Biological technologists and technicians,0,0,1,0,0,0,0,0
2231 - Civil engineering technologists and technicians,0,0,0,0,0,0,1,0
2232 - Mechanical engineering technologists and technicians,1,0,0,0,0,0,1,1
2233 - Industrial engineering and manufacturing technologists and technicians,0,0,0,0,0,0,1,0
2234 - Construction estimators,0,1,0,0,0,0,0,0
2241 - Electrical and electronics engineering technologists and technicians,0,1,0,1,0,0,0,2
2242 - Electronic service technicians (household and business equipment),0,1,0,1,1,1,2,3
2243 - Industrial instrument technicians and mechanics,6,13,2,6,0,0,0,1
2251 - Architectural technologists and technicians,1,0,0,0,0,0,2,1
2253 - Drafting technologists and technicians,0,0,0,0,0,2,0,1
2254 - Land survey technologists and technicians,1,0,1,0,0,0,0,0
2262 - Engineering inspectors and regulatory officers,1,1,0,0,0,0,0,0
"2271 - Air pilots, flight engineers and flying instructors",7,9,10,9,10,8,12,8
2281 - Computer network technicians,0,0,0,0,2,1,2,1
2282 - User support technicians,0,0,0,0,2,1,0,3
2283 - Information systems testing technicians,0,0,0,3,1,0,1,2
3012 - Registered nurses and registered psychiatric nurses,5,0,0,0,0,0,0,0
3111 - Specialist physicians,11,13,2,8,1,9,6,12
3112 - General practitioners and family physicians,6,9,5,5,11,11,14,19
3113 - Dentists,1,0,0,1,0,0,0,0
3114 - Veterinarians,0,1,0,0,0,5,4,8
3125 - Other professional occupations in health diagnosing and treating,0,0,0,0,0,1,1,1
3144 - Other professional occupations in therapy and assessment,0,0,0,2,0,1,0,0
3213 - Animal health technologists and veterinary technicians,0,1,0,0,0,0,0,0
3215 - Medical radiation technologists,0,0,0,0,0,0,0,5
"3217 - Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",0,0,0,0,0,0,1,2
3219 - Other medical technologists and technicians (except dental health),1,0,0,0,0,1,0,0
"3223 - Dental technologists, technicians and laboratory assistants",0,0,1,0,0,2,2,1
3232 - Practitioners of natural healing,0,0,0,0,0,0,1,1
3233 - Licensed practical nurses,3,0,1,1,0,0,0,1
3236 - Massage therapists,0,0,0,0,0,0,0,1
"3413 - Nurse aides, orderlies and patient service associates",0,0,0,0,0,1,6,0
3414 - Other assisting occupations in support of health services,0,0,0,0,0,0,0,4
4011 - University professors and lecturers,5,8,8,11,12,21,15,14
4012 - Post-secondary teaching and research assistants,0,0,0,0,2,1,3,0
4021 - College and other vocational instructors,27,16,18,13,5,0,0,0
4031 - Secondary school teachers,0,0,1,0,0,1,4,2
4032 - Elementary school and kindergarten teachers,0,0,0,1,1,1,0,4
"4153 - Family, marriage and other related counsellors",0,0,1,0,0,0,0,0
4154 - Professional occupations in religion,0,1,0,0,0,0,0,0
4163 - Business development officers and marketing researchers and consultants,0,0,0,0,0,0,0,3
"4164 - Social policy researchers, consultants and program officers",0,0,0,1,0,0,0,0
"4165 - Health policy researchers, consultants and program officers",1,0,0,0,0,0,0,0
"4166 - Education policy researchers, consultants and program officers",0,0,0,0,0,0,0,1
4211 - Paralegal and related occupations,0,0,1,1,0,0,1,3
4212 - Social and community service workers,0,0,1,0,0,0,0,0
4214 - Early childhood educators and assistants,0,0,0,3,5,3,2,12
4215 - Instructors of persons with disabilities,3,2,0,1,0,0,0,0
4411 - Home child care providers,17,18,26,34,12,18,5,8
"4412 - Home support workers, housekeepers and related occupations",4,3,5,7,1,2,2,7
4413 - Elementary and secondary school teacher assistants,0,0,0,0,0,0,4,0
5112 - Conservators and curators,0,1,0,0,0,0,0,0
5121 - Authors and writers,0,0,0,1,0,0,0,0
5122 - Editors,0,0,0,0,0,2,1,0
"5131 - Producers, directors, choreographers and related occupations",7,1,1,1,0,0,0,0
5133 - Musicians and singers,0,0,0,0,0,0,0,2
5134 - Dancers,0,0,0,0,0,0,1,0
5135 - Actors and comedians,10,0,0,0,0,0,0,0
5221 - Photographers,0,0,0,0,0,1,0,1
5222 - Film and video camera operators,0,1,0,0,0,0,0,0
5225 - Audio and video recording technicians,0,0,0,0,0,1,1,0
"5226 - Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",1,0,33,1,0,0,0,0
"5227 - Support occupations in motion pictures, broadcasting, photography and the performing arts",0,5,1,0,0,0,0,0
5231 - Announcers and other broadcasters,0,0,0,1,0,0,0,0
"5232 - Other performers, n.e.c.",4,3,0,0,0,0,0,0
5241 - Graphic designers and illustrators,2,0,0,0,1,1,2,4
5242 - Interior designers and interior decorators,0,0,0,0,0,0,0,1
5244 - Artisans and craftspersons,1,0,0,0,0,0,0,0
"5254 - Program leaders and instructors in recreation, sport and fitness",2,0,1,0,1,0,0,0
6211 - Retail sales supervisors,13,3,7,17,11,28,98,97
6221 - Technical sales specialists - wholesale trade,0,1,0,1,4,1,0,3
6222 - Retail and wholesale buyers,0,0,0,0,0,0,3,0
6311 - Food service supervisors,10,6,40,58,39,34,204,246
6312 - Executive housekeepers,0,0,0,0,4,5,3,9
"6313 - Accommodation, travel, tourism and related services supervisors",1,1,6,2,3,0,8,7
6314 - Customer and information services supervisors,0,0,0,0,0,1,0,0
6315 - Cleaning supervisors,0,1,0,7,3,10,19,23
6316 - Other services supervisors,10,10,0,10,1,12,10,4
6321 - Chefs,2,3,5,1,0,6,11,7
6322 - Cooks,30,39,24,42,47,52,205,311
"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",2,0,0,1,10,11,9,13
6332 - Bakers,0,1,8,3,8,1,18,12
6341 - Hairstylists and barbers,1,0,0,0,8,0,4,7
"6342 - Tailors, dressmakers, furriers and milliners",0,1,3,0,1,0,2,2
6411 - Sales and account representatives - wholesale trade (non-technical),0,0,0,0,2,0,1,0
6421 - Retail salespersons,2,0,3,0,0,0,4,12
6512 - Bartenders,0,0,0,0,0,0,3,0
6513 - Food and beverage servers,0,1,0,1,1,0,11,6
6525 - Hotel front desk clerks,1,0,0,2,3,1,3,10
6531 - Tour and travel guides,0,14,0,0,0,0,0,0
6532 - Outdoor sport and recreational guides,1,1,1,1,0,1,1,1
6541 - Security guards and related security service occupations,0,0,0,0,0,0,0,2
"6562 - Estheticians, electrologists and related occupations",0,1,0,3,0,0,5,26
6563 - Pet groomers and animal care workers,15,0,9,11,6,1,0,1
6611 - Cashiers,0,3,2,0,1,1,15,41
"6622 - Store shelf stockers, clerks and order fillers",0,0,0,0,0,0,5,8
6623 - Other sales related occupations,30,30,30,0,0,30,30,0
"6711 - Food counter attendants, kitchen helpers and related support occupations",8,12,0,38,0,0,180,258
"6722 - Operators and attendants in amusement, recreation and sport",124,124,124,149,0,124,149,20
6731 - Light duty cleaners,1,3,0,2,3,12,25,88
6732 - Specialized cleaners,0,4,0,0,0,0,5,5
"6733 - Janitors, caretakers and building superintendents",0,0,0,0,0,0,1,2
"6741 - Dry cleaning, laundry and related occupations",0,0,0,0,1,0,0,0
"6742 - Other service support occupations, n.e.c.",1,0,4,1,0,3,1,2
"7201 - Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",0,1,0,0,1,1,0,0
"7202 - Contractors and supervisors, electrical trades and telecommunications occupations",0,10,0,0,0,0,0,0
"7204 - Contractors and supervisors, carpentry trades",0,0,0,0,0,1,2,2
"7205 - Contractors and supervisors, other construction trades, installers, repairers and servicers",0,0,0,0,1,0,4,5
7231 - Machinists and machining and tooling inspectors,0,0,1,0,0,0,0,0
7233 - Sheet metal workers,0,0,0,0,0,0,1,0
7234 - Boilermakers,0,0,0,0,0,0,2,0
7235 - Structural metal and platework fabricators and fitters,0,0,0,0,0,0,3,0
7236 - Ironworkers,0,0,0,0,0,3,0,0
7237 - Welders and related machine operators,10,2,11,8,1,3,18,27
7241 - Electricians (except industrial and power system),0,3,0,0,0,0,1,0
7244 - Electrical power line and cable workers,15,23,0,0,0,0,0,0
7245 - Telecommunications line and cable workers,0,0,0,0,0,0,11,4
7246 - Telecommunications installation and repair workers,0,0,0,0,0,0,0,6
7251 - Plumbers,0,0,0,0,6,1,9,3
7271 - Carpenters,0,0,0,16,3,17,33,40
7272 - Cabinetmakers,1,0,0,0,1,2,2,5
7281 - Bricklayers,1,0,0,0,0,0,6,0
7282 - Concrete finishers,0,0,0,0,0,4,8,0
7283 - Tilesetters,0,0,1,0,0,0,0,0
"7284 - Plasterers, drywall installers and finishers and lathers",2,1,0,1,9,13,36,41
7291 - Roofers and shinglers,4,3,1,2,1,3,23,8
7292 - Glaziers,3,0,0,0,0,0,0,0
7293 - Insulators,0,8,10,0,0,0,0,1
7294 - Painters and decorators (except interior decorators),0,0,0,0,0,2,9,13
7295 - Floor covering installers,1,3,0,0,0,3,10,7
"7301 - Contractors and supervisors, mechanic trades",6,0,3,0,0,10,0,1
"7302 - Contractors and supervisors, heavy equipment operator crews",0,1,2,2,2,0,0,1
"7303 - Supervisors, printing and related occupations",0,0,0,0,2,0,0,0
"7305 - Supervisors, motor transport and other ground transit operators",0,1,0,1,1,1,1,4
7311 - Construction millwrights and industrial mechanics,0,0,0,4,0,2,1,1
7312 - Heavy-duty equipment mechanics,6,2,5,14,3,4,17,28
7313 - Refrigeration and air conditioning mechanics,0,0,0,0,0,0,2,0
7316 - Machine fitters,0,0,0,2,0,0,0,0
"7321 - Automotive service technicians, truck and bus mechanics and mechanical repairers",4,10,13,11,7,14,58,61
7322 - Motor vehicle body repairers,2,7,10,3,10,5,17,24
7332 - Appliance servicers and repairers,0,1,0,0,0,0,2,5
7333 - Electrical mechanics,0,0,0,1,0,0,0,6
"7334 - Motorcycle, all-terrain vehicle and other related mechanics",0,1,0,0,0,0,0,1
7335 - Other small engine and small equipment repairers,0,0,0,0,0,0,3,0
7371 - Crane operators,0,0,1,0,0,0,0,0
7381 - Printing press operators,0,0,0,0,0,1,0,0
"7384 - Other trades and related occupations, n.e.c.",0,0,1,1,1,3,2,0
7441 - Residential and commercial installers and servicers,0,0,0,5,0,7,8,18
7445 - Other repairers and servicers,0,0,0,0,0,0,2,0
7452 - Material handlers,0,0,0,0,0,0,13,20
7511 - Transport truck drivers,67,51,40,358,326,398,758,889
"7512 - Bus drivers, subway operators and other transit operators",0,0,1,0,0,0,0,4
7513 - Taxi and limousine drivers and chauffeurs,0,0,0,9,0,0,13,5
7514 - Delivery and courier service drivers,0,0,0,0,0,0,14,27
7521 - Heavy equipment operators (except crane),6,1,6,7,6,4,16,9
7522 - Public works maintenance equipment operators and related workers,0,0,0,0,0,2,0,0
7535 - Other automotive mechanical installers and servicers,0,0,0,2,0,2,7,17
7611 - Construction trades helpers and labourers,5,0,0,0,1,7,30,120
7612 - Other trades helpers and labourers,0,0,0,1,1,2,15,63
7622 - Railway and motor transport labourers,0,0,0,0,0,0,1,1
"8232 - Oil and gas well drillers, servicers, testers and related workers",0,0,0,0,0,0,1,0
"8252 - Agricultural service contractors, farm supervisors and specialized livestock workers",54,42,37,41,33,33,39,46
"8255 - Contractors and supervisors, landscaping, grounds maintenance and horticulture services",0,0,0,0,0,1,0,1
8431 - General farm workers,546,609,697,797,883,604,901,"1,093"
8432 - Nursery and greenhouse workers,101,75,106,104,172,90,68,95
8611 - Harvesting labourers,0,0,0,0,0,0,35,79
8612 - Landscaping and grounds maintenance labourers,1,0,0,2,0,5,6,8
"9213 - Supervisors, food, beverage and associated products processing",0,0,1,0,0,0,2,1
"9227 - Supervisors, other products manufacturing and assembly",0,0,0,0,0,0,0,1
"9414 - Concrete, clay and stone forming operators",0,0,0,0,0,0,0,2
9416 - Metalworking and forging machine operators,1,0,0,0,0,0,0,0
9423 - Rubber processing machine operators and related workers,0,0,0,0,0,0,2,0
9431 - Sawmill machine operators,0,0,0,1,0,0,0,0
9435 - Paper converting machine operators,0,0,0,0,0,0,0,2
9446 - Industrial sewing machine operators,0,0,0,0,0,0,0,4
"9461 - Process control and machine operators, food, beverage and associated products processing",0,0,0,0,0,1,2,0
"9462 - Industrial butchers and meat cutters, poultry preparers and related workers",0,65,0,0,2,50,102,14
9471 - Plateless printing equipment operators,0,0,0,0,0,0,1,0
"9522 - Motor vehicle assemblers, inspectors and testers",0,0,0,0,0,0,0,1
9526 - Mechanical assemblers and inspectors,0,0,5,4,0,0,0,0
"9535 - Plastic products assemblers, finishers and inspectors",0,0,0,0,0,0,0,1
"9536 - Industrial painters, coaters and metal finishing process operators",0,0,0,0,0,0,0,1
9612 - Labourers in metal fabrication,0,0,0,0,0,0,8,0
"9617 - Labourers in food, beverage and associated products processing",0,0,0,0,0,1,110,11
"9619 - Other labourers in processing, manufacturing and utilities",0,0,0,0,0,0,7,18
Manitoba - Total,"1,248","1,324","1,459","1,952","1,773","1,858","3,880","4,676"
Saskatchewan,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0012 - Senior government managers and officials,0,1,0,0,0,0,0,0
"0013 - Senior managers - financial, communications and other business services",0,0,1,0,0,0,1,3
"0014 - Senior managers - health, education, social and community services and membership organizations",0,0,1,1,0,0,0,0
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",0,1,0,0,1,1,0,0
"0016 - Senior managers - construction, transportation, production and utilities",0,0,0,1,0,0,0,0
0111 - Financial managers,1,0,0,0,0,0,0,0
0112 - Human resources managers,0,0,0,0,1,0,0,2
0113 - Purchasing managers,0,0,0,0,1,0,0,0
"0124 - Advertising, marketing and public relations managers",0,0,0,0,0,1,0,0
0125 - Other business services managers,0,0,0,0,0,0,0,1
0211 - Engineering managers,1,8,1,0,0,0,0,0
0212 - Architecture and science managers,0,1,0,1,0,0,1,0
0213 - Computer and information systems managers,0,0,0,2,2,4,0,2
0601 - Corporate sales managers,2,0,0,0,1,0,0,2
0621 - Retail and wholesale trade managers,2,0,2,0,0,2,3,5
0631 - Restaurant and food service managers,5,4,0,2,5,7,12,12
0632 - Accommodation service managers,2,2,2,6,3,3,2,3
"0651 - Managers in customer and personal services, n.e.c.",0,1,0,0,0,0,1,3
0711 - Construction managers,5,0,1,1,1,3,0,3
0712 - Home building and renovation managers,0,0,0,0,0,0,1,0
0714 - Facility operation and maintenance managers,0,0,1,0,0,0,1,0
0731 - Managers in transportation,0,0,0,0,0,1,0,1
0811 - Managers in natural resources production and fishing,1,0,0,0,0,0,0,0
0821 - Managers in agriculture,0,0,1,0,0,1,1,1
0911 - Manufacturing managers,0,0,0,0,0,1,0,1
1122 - Professional occupations in business management consulting,1,0,0,0,0,0,0,0
"1123 - Professional occupations in advertising, marketing and public relations",0,0,0,0,0,1,0,1
"1212 - Supervisors, finance and insurance office workers",0,0,0,0,0,0,0,1
"1215 - Supervisors, supply chain, tracking and scheduling co-ordination occupations",2,1,0,0,0,1,5,9
1221 - Administrative officers,0,0,0,2,1,5,11,10
1224 - Property administrators,0,2,0,0,0,0,1,1
1225 - Purchasing agents and officers,0,0,1,0,0,0,0,0
1226 - Conference and event planners,0,0,0,0,0,0,0,1
1241 - Administrative assistants,0,1,0,2,2,1,9,20
1311 - Accounting technicians and bookkeepers,1,1,0,2,0,2,13,12
1411 - General office support workers,0,0,0,0,0,0,2,2
1414 - Receptionists,0,0,0,0,0,0,0,1
1431 - Accounting and related clerks,0,0,0,0,0,0,0,1
1521 - Shippers and receivers,0,0,0,0,0,0,1,1
1522 - Storekeepers and partspersons,0,0,0,0,0,0,0,4
1525 - Dispatchers,0,0,0,0,0,0,1,4
2113 - Geoscientists and oceanographers,0,0,0,0,1,0,0,1
2115 - Other professional occupations in physical sciences,0,0,0,0,0,0,0,1
2121 - Biologists and related scientists,0,1,0,1,0,3,0,0
2132 - Mechanical engineers,4,1,0,0,0,0,0,0
2133 - Electrical and electronics engineers,5,7,0,0,0,0,0,0
2141 - Industrial and manufacturing engineers,0,0,0,0,0,0,0,1
2142 - Metallurgical and materials engineers,1,1,0,0,0,0,0,0
2171 - Information systems analysts and consultants,0,0,2,1,1,2,1,2
2172 - Database analysts and data administrators,6,2,1,0,0,1,0,0
2173 - Software engineers and designers,5,0,11,2,3,6,6,0
2174 - Computer programmers and interactive media developers,0,0,0,15,6,16,15,1
2175 - Web designers and developers,0,0,0,0,1,0,1,1
2225 - Landscape and horticulture technicians and specialists,40,45,40,40,0,15,30,20
2231 - Civil engineering technologists and technicians,2,0,0,0,0,0,0,0
2232 - Mechanical engineering technologists and technicians,3,3,0,0,0,0,2,0
2233 - Industrial engineering and manufacturing technologists and technicians,4,1,0,1,0,0,1,0
2234 - Construction estimators,0,2,0,0,0,0,0,0
2241 - Electrical and electronics engineering technologists and technicians,24,6,1,1,0,1,0,1
